,accuracy,roc_auc,pr_auc,precision,recall,f1,confusion_matrix
LogisticRegression,0.938102700096432,0.5498936989119034,0.9472685187860715,0.938102700096432,1.0,0.9680629411947632,"[[0, 1027], [0, 15565]]"
RandomForest,0.938102700096432,0.5417414986498494,0.9459150099167429,0.938102700096432,1.0,0.9680629411947632,"[[0, 1027], [0, 15565]]"
HistGradientBoosting,0.938102700096432,0.5520195330008811,0.9465581603909323,0.938102700096432,1.0,0.9680629411947632,"[[0, 1027], [0, 15565]]"
