longitude,latitude,row_idx,col_idx,spatial_block_id,target_occurrence,elevation,slope,aspect,s1_vv,s1_vh,s1_ratio,b02_blue,b03_green,b04_red,b08_nir,b11_swir1,b12_swir2,ndvi,ndbi,ndwi,clay_index,ferrous_index,landsat_b1,landsat_b2,landsat_b3,landsat_b4,landsat_b5,soil_moisture,rainfall,dist_roads_km,dist_min_line_km,dist_chem_km,nearest_mno_pct
80.229,21.935000000000002,57,314,19,0,312.59207,0.0,0.0,-10.604041,-16.912369,0.0,1967.9932,2073.618,1774.446,4522.2275,2802.116,1836.8048,0.4363862,-0.23484856,-0.37123513,1.5255382,0.61963177,0.024303524,0.058456868,0.044032812,0.22461584,0.15134671,0.2967839,6.8776765,4.529384064170733,59.59355571256345,59.428554121735715,19.63
80.231,21.935000000000002,57,315,19,0,312.59207,0.0,0.0,-9.598903,-15.879529,0.0,1829.8523,1943.2634,1673.2267,4159.728,2703.196,1807.9636,0.42628506,-0.212232,-0.36317676,1.4951606,0.64984924,0.029184217,0.06515591,0.054868385,0.25115788,0.17174715,0.2967839,6.909697,4.6700758042747355,59.79672599272074,59.63138607310763,19.63
80.233,21.935000000000002,57,316,19,0,312.59207,0.0,0.0,-8.481403,-14.867018,0.0,1587.2626,1693.4188,1488.4558,3600.7417,2533.9602,1738.4403,0.41505286,-0.17389296,-0.36026916,1.4576055,0.70373285,0.031349674,0.067723826,0.058307327,0.27849913,0.18456154,0.2967839,6.941717,4.816452970441964,60.000029703582804,59.83435412035573,19.63
80.235,21.935000000000002,57,317,19,0,312.59207,0.0,0.0,-8.866859,-15.16793,0.0,1501.0078,1603.8606,1427.5848,3348.3374,2479.1064,1724.2477,0.40217414,-0.14916162,-0.35226312,1.4377903,0.74039924,0.03172617,0.068296514,0.0584419,0.28485876,0.1888618,0.2967839,6.9737372,4.968440239680472,60.20346549338285,60.03745688318314,19.63
80.237,21.935000000000002,57,318,19,0,312.59207,0.0,0.0,-8.542469,-14.83785,0.0,1507.8953,1608.2347,1430.8793,3303.9329,2466.9207,1718.423,0.39559197,-0.14504132,-0.34520364,1.4355724,0.74666184,0.032831836,0.068921015,0.060109053,0.27959725,0.19110757,0.2967839,7.0057573,5.125538568196773,60.40703202769574,60.24069299900207,19.63
80.23899999999999,21.935000000000002,57,319,19,0,312.59207,0.0,0.0,-4.756112,-11.380485,0.0,1468.1906,1571.9789,1408.4525,3257.9963,2440.6917,1711.3049,0.39634934,-0.1434198,-0.34907374,1.4262167,0.74913883,0.034742847,0.07249489,0.063248545,0.29650128,0.2051506,0.2967839,7.037778,5.287292389576032,60.61072798917019,60.44406112266084,19.63
80.241,21.935000000000002,57,320,19,0,312.59207,0.0,0.0,-3.599107,-10.485176,0.0,1446.059,1545.88,1384.2078,3245.9055,2369.9294,1653.337,0.4020847,-0.15598322,-0.35477912,1.4334219,0.7301289,0.033298254,0.07150878,0.05894924,0.305441,0.20191687,0.2967839,7.069798,5.453287449940375,60.81455207727402,60.64755992618399,19.63
80.243,21.935000000000002,57,321,19,0,312.59207,0.0,0.0,-5.873132,-12.678718,0.0,1466.7838,1561.6198,1401.718,3196.0947,2368.2834,1663.2974,0.3902675,-0.14876978,-0.34354207,1.4238485,0.7409929,0.031504277,0.0675346,0.05665662,0.28571755,0.19227743,0.29706416,7.101818,5.623148158324924,61.01850300803513,60.851188098508146,19.63
80.201,21.933,58,300,19,0,312.59207,0.0,0.0,-9.244773,-15.917558,0.0,1680.9318,1779.8351,1647.067,3528.1716,2789.7185,1958.7175,0.3634817,-0.11688287,-0.32937723,1.4242576,0.79069805,0.036985394,0.074025035,0.07050097,0.2580821,0.20673914,0.29655588,6.2828255,2.8230152777143687,56.6702438728337,56.50946661401069,19.63
80.203,21.933,58,301,19,0,312.59207,0.0,0.0,-9.378052,-16.070627,0.0,1675.4194,1782.7426,1671.7869,3475.1348,2875.0686,2050.4001,0.35037404,-0.09449559,-0.32187745,1.4021988,0.82732576,0.03930044,0.07621569,0.0748806,0.25976327,0.21394941,0.29655588,6.32628,3.0091603035470578,56.871725361454736,56.71057242701839,19.63
